iter	Passed	Remaining
0	137	136929
1	139	69595
2	141	47032
3	143	35746
4	146	29152
5	149	24755
6	151	21524
7	153	19073
8	155	17159
9	158	15645
10	160	14407
11	162	13379
12	163	12449
13	165	11655
14	166	10963
15	168	10359
16	169	9811
17	171	9335
18	172	8903
19	173	8514
20	174	8152
21	175	7819
22	176	7514
23	177	7235
24	178	6979
25	179	6742
26	180	6519
27	181	6310
28	182	6114
29	183	5932
30	184	5762
31	185	5606
32	186	5458
33	187	5314
34	188	5184
35	188	5057
36	189	4936
37	190	4821
38	191	4711
39	191	4606
40	192	4507
41	193	4411
42	194	4319
43	194	4232
44	195	4148
45	196	4069
46	196	3992
47	197	3918
48	198	3848
49	199	3782
50	199	3719
51	200	3658
52	201	3601
53	202	3543
54	202	3486
55	203	3432
56	204	3380
57	205	3330
58	205	3282
59	206	3234
60	207	3188
61	207	3144
62	208	3101
63	209	3060
64	209	3019
65	210	2981
66	211	2943
67	211	2902
68	212	2866
69	213	2831
70	213	2799
71	214	2767
72	215	2738
73	216	2707
74	217	2677
75	217	2647
76	218	2618
77	219	2590
78	219	2562
79	220	2535
80	221	2509
81	221	2483
82	222	2459
83	223	2434
84	223	2408
85	224	2385
86	224	2360
87	225	2338
88	226	2316
89	227	2295
90	227	2275
91	228	2256
92	229	2238
93	230	2219
94	231	2200
95	231	2181
96	232	2163
97	233	2145
98	233	2127
99	234	2110
100	235	2093
101	235	2074
102	236	2057
103	236	2041
104	237	2025
105	238	2010
106	239	1994
107	239	1979
108	240	1965
109	241	1951
110	241	1936
111	242	1923
112	243	1909
113	244	1898
114	245	1885
115	245	1871
116	246	1858
117	246	1846
118	247	1832
119	248	1820
120	248	1808
121	249	1796
122	250	1782
123	250	1771
124	251	1760
125	252	1749
126	252	1738
127	253	1725
128	254	1715
129	254	1705
130	255	1694
131	256	1684
132	256	1674
133	257	1664
134	258	1656
135	259	1647
136	259	1637
137	260	1627
138	261	1618
139	261	1609
140	262	1600
141	263	1591
142	264	1582
143	264	1574
144	265	1565
145	266	1557
146	266	1548
147	267	1540
148	268	1532
149	269	1524
150	269	1516
151	270	1509
152	271	1501
153	271	1493
154	273	1488
155	274	1482
156	275	1476
157	275	1470
158	276	1463
159	277	1456
160	278	1449
161	278	1442
162	279	1436
163	280	1429
164	281	1423
165	281	1416
166	282	1409
167	283	1403
168	284	1397
169	284	1391
170	285	1385
171	286	1379
172	287	1374
173	288	1368
174	289	1363
175	290	1357
176	290	1351
177	291	1345
178	292	1340
179	292	1334
180	293	1327
181	294	1321
182	294	1316
183	295	1310
184	296	1305
185	297	1299
186	297	1294
187	298	1289
188	299	1284
189	300	1279
190	300	1274
191	301	1269
192	303	1268
193	304	1263
194	304	1258
195	305	1253
196	306	1248
197	307	1243
198	307	1239
199	308	1234
200	309	1229
201	310	1224
202	310	1220
203	311	1215
204	312	1210
205	312	1206
206	313	1201
207	314	1197
208	315	1193
209	316	1190
210	317	1187
211	318	1183
212	319	1178
213	319	1174
214	320	1170
215	321	1166
216	322	1162
217	322	1158
218	323	1154
219	324	1149
220	325	1146
221	325	1141
